"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Bisbaumannia_pacifica_CARE-V15","Bisbaumannia_pacifica_M31","Bisbaumannia_pacifica_NBRC_102220","Halomonas_salifodinae_A2","Halomonas_salifodinae_IM328","Halomonas_salifodinae_JCM_14803"
"group_1947","","hypothetical protein","2","2","1","1","3864","34","22","","995","995","995","","","","A2_00696","Halomonas_salifodinae_01684",""
"group_1948","yehY","Glycine betaine uptake system permease protein YehY","2","2","1","1","3866","34","20","","1166","1169","1167","","","","A2_00698","Halomonas_salifodinae_01686",""
"group_1949","yehX","Glycine betaine uptake system ATP-binding protein YehX","2","2","1","1","3867","34","19","","953","953","953","","","","A2_00699","Halomonas_salifodinae_01687",""
"group_1950","pxpC","5-oxoprolinase subunit C","2","2","1","1","3342","677","3","","932","932","932","","","","A2_00712","Halomonas_salifodinae_01701",""
"group_1951","bar","Broad specificity amino-acid racemase","2","2","1","1","3339","44","1","","1232","1241","1236","","","","A2_00717","Halomonas_salifodinae_01706",""
"group_1952","","hypothetical protein","2","2","1","1","3334","44","26","","710","710","710","","","","A2_00720","Halomonas_salifodinae_01709",""
"group_1953","","hypothetical protein","2","2","1","1","3326","44","18","","386","1610","998","","","","A2_00724","Halomonas_salifodinae_01714",""
"group_1954","rarD","Protein RarD","2","2","1","1","3328","44","15","","929","935","932","","","","A2_00726","Halomonas_salifodinae_01716",""
"group_1955","gloB","Hydroxyacylglutathione hydrolase GloB","2","2","1","1","3919","607","3","","767","890","828","","","","A2_00734","Halomonas_salifodinae_01724",""
"acs","","Acetyl-coenzyme A synthetase","2","2","1","1","3299","623","3","","1913","1913","1913","","","","A2_00742","Halomonas_salifodinae_01732",""
"group_1959","","hypothetical protein","2","2","1","1","3300","623","4","","1574","1574","1574","","","","A2_00743","Halomonas_salifodinae_01733",""
"group_1961","ybfF","Esterase YbfF","2","2","1","1","3929","623","10","","788","788","788","","","","A2_00746","Halomonas_salifodinae_01736",""
"tusD","","Sulfurtransferase TusD","2","2","1","1","3295","651","5","","392","392","392","","","","A2_00754","Halomonas_salifodinae_01742",""
"group_1963","","hypothetical protein","2","2","1","1","3294","651","6","","380","380","380","","","","A2_00755","Halomonas_salifodinae_01743",""
"group_1964","tusE","Sulfurtransferase TusE","2","2","1","1","3292","651","4","","353","353","353","","","","A2_00757","Halomonas_salifodinae_01745",""
"group_1965","acpH","Acyl carrier protein phosphodiesterase","2","2","1","1","3291","651","3","","563","563","563","","","","A2_00758","Halomonas_salifodinae_01746",""
"group_1966","moeA_2","Molybdopterin molybdenumtransferase","2","2","1","1","3290","651","2","","1211","1211","1211","","","","A2_00759","Halomonas_salifodinae_01747",""
"group_1967","","hypothetical protein","2","2","1","1","3242","620","1","","671","671","671","","","","A2_00776","Halomonas_salifodinae_01765",""
"group_1968","","hypothetical protein","2","2","1","1","3240","620","11","","392","392","392","","","","A2_00778","Halomonas_salifodinae_01767",""
"group_1970","yfgD","putative protein YfgD","2","2","1","1","3224","620","8","","338","338","338","","","","A2_00780","Halomonas_salifodinae_01769",""
"group_1971","","hypothetical protein","2","2","1","1","2359","609","13","","359","359","359","","","","A2_00793","Halomonas_salifodinae_01782",""
"group_1973","","hypothetical protein","2","2","1","1","2400","724","3","","476","476","476","","","","A2_00805","Halomonas_salifodinae_01793",""
"group_1975","","hypothetical protein","2","2","1","1","2351","640","5","","1073","1073","1073","","","","A2_00810","Halomonas_salifodinae_01798",""
"group_1976","","hypothetical protein","2","2","1","1","2347","640","1","","854","854","854","","","","A2_00817","Halomonas_salifodinae_01805",""
"group_1977","mtaD","5-methylthioadenosine/S-adenosylhomocysteine deaminase","2","2","1","1","2424","721","2","","1343","1343","1343","","","","A2_00821","Halomonas_salifodinae_01809",""
"group_1978","mupP","N-acetylmuramic acid 6-phosphate phosphatase","2","2","1","1","2426","721","1","","659","689","674","","","","A2_00823","Halomonas_salifodinae_01811",""
"group_1980","","hypothetical protein","2","2","1","1","2441","616","3","","1088","1112","1100","","","","A2_00828","Halomonas_salifodinae_01816",""
"group_1985","","hypothetical protein","2","2","1","1","2474","731","3","","1034","1037","1035","","","","A2_00849","Halomonas_salifodinae_01837",""
"group_1986","yjjV","putative metal-dependent hydrolase YjjV","2","2","1","1","2473","731","2","","776","776","776","","","","A2_00850","Halomonas_salifodinae_01838",""
"group_1987","","hypothetical protein","2","2","1","1","2485","754","1","","443","443","443","","","","A2_00853","Halomonas_salifodinae_01841",""
"group_1988","","hypothetical protein","2","2","1","1","2491","773","1","","407","416","411","","","","A2_00857","Halomonas_salifodinae_01845",""
"group_1989","acsA_1","Acetyl-coenzyme A synthetase","2","2","1","1","2508","646","5","","1952","1952","1952","","","","A2_00866","Halomonas_salifodinae_01854",""
"group_1990","","hypothetical protein","2","2","1","1","2504","646","3","","545","548","546","","","","A2_00870","Halomonas_salifodinae_01858",""
"group_1991","","hypothetical protein","2","2","1","1","2503","646","2","","617","617","617","","","","A2_00871","Halomonas_salifodinae_01859",""
"fliD_2","","Flagellar hook-associated protein 2","2","2","1","1","4538","4","36","","1412","1412","1412","","","","A2_00880","Halomonas_salifodinae_01127",""
"group_1993","","hypothetical protein","2","2","1","1","4526","4","8","","1769","1769","1769","","","","A2_00884","Halomonas_salifodinae_01123",""
"group_1994","fliF","Flagellar M-ring protein","2","2","1","1","4550","4","1","","1730","1733","1731","","","","A2_00890","Halomonas_salifodinae_01117",""
"group_1995","fliH","Flagellar assembly protein FliH","2","2","1","1","4553","933","1","","725","725","725","","","","A2_00892","Halomonas_salifodinae_01115",""
"fliO","","Flagellar protein FliO","2","2","1","1","59","75","14","","425","425","425","","","","A2_00899","Halomonas_salifodinae_01108",""
"group_1997","flgK","Flagellar hook-associated protein 1","2","2","1","1","4566","698","3","","1649","1649","1649","","","","A2_00904","Halomonas_salifodinae_01103",""
"group_1998","flgD","Basal-body rod modification protein FlgD","2","2","1","1","4580","664","3","","689","689","689","","","","A2_00911","Halomonas_salifodinae_01096",""
"group_1999","flgA","Flagella basal body P-ring formation protein FlgA","2","2","1","1","45","636","2","","686","779","732","","","","A2_00914","Halomonas_salifodinae_01093",""
"group_2000","","hypothetical protein","2","2","1","1","44","636","3","","266","266","266","","","","A2_00915","Halomonas_salifodinae_01092",""
"group_2001","sugB_1","Trehalose transport system permease protein SugB","2","2","1","1","37","878","1","","917","917","917","","","","A2_00926","Halomonas_salifodinae_01081",""
"tpiA_2","","Triosephosphate isomerase","2","2","1","1","4612","714","2","","743","743","743","","","","A2_00933","Halomonas_salifodinae_01074",""
"group_2003","","hypothetical protein","2","2","1","1","4633","656","1","","263","263","263","","","","A2_00937","Halomonas_salifodinae_01070",""
"group_2005","","hypothetical protein","2","2","1","1","20","855","1","","683","719","701","","","","A2_00964","Halomonas_salifodinae_01050",""
"group_2006","hflC","Modulator of FtsH protease HflC","2","2","1","1","18","791","1","","881","881","881","","","","A2_00973","Halomonas_salifodinae_01041",""
"group_2007","nnr","Bifunctional NAD(P)H-hydrate repair enzyme Nnr","2","2","1","1","4685","106","11","","1490","1490","1490","","","","A2_00981","Halomonas_salifodinae_01033",""
"group_2008","epmA","Elongation factor P--(R)-beta-lysine ligase","2","2","1","1","12","931","1","","974","974","974","","","","A2_00987","Halomonas_salifodinae_01027",""
"group_2009","epmB","L-lysine 2,3-aminomutase","2","2","1","1","10","930","1","","1031","1031","1031","","","","A2_00989","Halomonas_salifodinae_01025",""
"group_2010","","hypothetical protein","2","2","1","1","4724","97","4","","176","176","176","","","","A2_01002","Halomonas_salifodinae_01012",""
"group_2011","","hypothetical protein","2","2","1","1","9305","605","3","","1979","1979","1979","","","","A2_01020","Halomonas_salifodinae_00946",""
"group_2012","","IS1595 family transposase ISSsu9","2","2","1","1","9301","605","8","","524","524","524","","","","A2_01024","Halomonas_salifodinae_00942",""
"group_2013","","hypothetical protein","2","2","1","1","9282","605","22","","1205","1355","1280","","","","A2_01027","Halomonas_salifodinae_00939",""
"group_2014","","hypothetical protein","2","2","1","1","4771","812","2","","512","512","512","","","","A2_01034","Halomonas_salifodinae_00932",""
"group_2015","gshA","Glutamate--cysteine ligase","2","2","1","1","4770","812","1","","1619","1619","1619","","","","A2_01035","Halomonas_salifodinae_00931",""
"group_2016","","hypothetical protein","2","2","1","1","9265","1075","1","","506","506","506","","","","A2_01037","Halomonas_salifodinae_00929",""
"group_2017","","hypothetical protein","2","2","1","1","4772","745","2","","116","116","116","","","","A2_01044","Halomonas_salifodinae_00922",""
"group_2018","thiB","Thiamine-binding periplasmic protein","2","2","1","1","9246","148","7","","1004","1007","1005","","","","A2_01048","Halomonas_salifodinae_00918",""
"group_2019","","hypothetical protein","2","2","1","1","9224","12","8","","461","461","461","","","","A2_01060","Halomonas_salifodinae_00905",""
"group_2020","","putative sulfate transporter","2","2","1","1","9219","12","10","","1757","1757","1757","","","","A2_01062","Halomonas_salifodinae_00903",""
"group_2021","","putative metallo-hydrolase","2","2","1","1","9217","12","12","","866","866","866","","","","A2_01064","Halomonas_salifodinae_00901",""
"csgD","","hypothetical protein","2","2","1","1","9209","12","62","","671","671","671","","","","A2_01068","Halomonas_salifodinae_00897",""
"group_2023","","Ribonuclease","2","2","1","1","9206","12","1","","1412","1412","1412","","","","A2_01071","Halomonas_salifodinae_00894",""
"group_2024","tesA","Esterase TesA","2","2","1","1","9202","626","11","","695","695","695","","","","A2_01075","Halomonas_salifodinae_00890",""
"group_2025","","hypothetical protein","2","2","1","1","9201","626","10","","704","704","704","","","","A2_01076","Halomonas_salifodinae_00889",""
"group_2026","","hypothetical protein","2","2","1","1","9200","626","9","","1907","1907","1907","","","","A2_01077","Halomonas_salifodinae_00888",""
"group_2027","prsE_2","Type I secretion system membrane fusion protein PrsE","2","2","1","1","9196","626","3","","1433","1433","1433","","","","A2_01081","Halomonas_salifodinae_00884",""
"group_2028","","hypothetical protein","2","2","1","1","4823","981","1","","1820","1820","1820","","","","A2_01083","Halomonas_salifodinae_00882",""
"group_2029","","hypothetical protein","2","2","1","1","4825","187","1","","1754","1757","1755","","","","A2_01089","Halomonas_salifodinae_00876",""
"group_2030","ycbB","putative L,D-transpeptidase YcbB","2","2","1","1","4833","715","2","","1577","1577","1577","","","","A2_01098","Halomonas_salifodinae_00867",""
"group_2031","","hypothetical protein","2","2","1","1","4835","786","1","","860","872","866","","","","A2_01103","Halomonas_salifodinae_00862",""
"group_2032","","hypothetical protein","2","2","1","1","4847","3","9","","353","353","353","","","","A2_01110","Halomonas_salifodinae_00855",""
"fadD_1","","Long-chain-fatty-acid--CoA ligase","2","2","1","1","4845","3","11","","1763","1763","1763","","","","A2_01112","Halomonas_salifodinae_00853",""
"iutA","","Ferric aerobactin receptor","2","2","1","1","4853","3","74","","2117","2117","2117","","","","A2_01127","Halomonas_salifodinae_00838",""
"group_2035","","hypothetical protein","2","2","1","1","4994","3","76","","935","935","935","","","","A2_01129","Halomonas_salifodinae_00836",""
"group_2036","","hypothetical protein","2","2","1","1","4981","63","13","","341","341","341","","","","A2_01136","","9e3420b4b005a41cf6998e0a1df74e45_1380"
"nhaB","","Na(+)/H(+) antiporter NhaB","2","2","1","1","4975","63","5","","1511","1559","1535","","","","A2_01141","Halomonas_salifodinae_00828",""
"group_2038","","hypothetical protein","2","2","1","1","4974","63","2","","1484","1484","1484","","","","A2_01142","Halomonas_salifodinae_00827",""
"group_2039","","hypothetical protein","2","2","1","1","4973","63","1","","872","911","891","","","","A2_01143","Halomonas_salifodinae_00826",""
"maiA","","Maleate isomerase","2","2","1","1","4965","16","12","","776","776","776","","","","A2_01148","Halomonas_salifodinae_00821",""
"mtrA","","HTH-type transcriptional regulator MtrA","2","2","1","1","4964","16","13","","893","893","893","","","","A2_01149","Halomonas_salifodinae_00820",""
"group_2042","","hypothetical protein","2","2","1","1","4962","16","15","","695","695","695","","","","A2_01151","Halomonas_salifodinae_00818",""
"group_2043","","hypothetical protein","2","2","1","1","4961","16","16","","731","746","738","","","","A2_01152","Halomonas_salifodinae_00817",""
"group_2044","","hypothetical protein","2","2","1","1","4957","16","20","","1022","1025","1023","","","","A2_01156","Halomonas_salifodinae_00813",""
"group_2045","ynjF","Inner membrane protein YnjF","2","2","1","1","4956","16","21","","626","626","626","","","","A2_01157","Halomonas_salifodinae_00812",""
"group_2046","cysA_1","Sulfate/thiosulfate import ATP-binding protein CysA","2","2","1","1","4952","16","27","","635","635","635","","","","A2_01161","Halomonas_salifodinae_00808",""
"group_2047","","hypothetical protein","2","2","1","1","4909","16","6","","956","956","956","","","","A2_01167","Halomonas_salifodinae_00806",""
"group_2048","tdcB","L-threonine ammonia-lyase","2","2","1","1","4910","16","5","","998","1022","1010","","","","A2_01168","Halomonas_salifodinae_00805",""
"group_2049","ghrA","Glyoxylate/hydroxypyruvate reductase A","2","2","1","1","4934","22","2","","935","935","935","","","","A2_01175","Halomonas_salifodinae_00798",""
"group_2050","pncB2","Nicotinate phosphoribosyltransferase pncB2","2","2","1","1","4936","22","4","","1352","1352","1352","","","","A2_01177","Halomonas_salifodinae_00796",""
"group_2051","","hypothetical protein","2","2","1","1","4937","22","5","","689","689","689","","","","A2_01178","Halomonas_salifodinae_00795",""
"sacC","","Levanase","2","2","1","1","4922","22","33","","1538","1547","1542","","","","A2_01180","Halomonas_salifodinae_00793",""
"group_2053","scrY_1","Sucrose porin","2","2","1","1","4921","22","34","","1487","1487","1487","","","","A2_01181","Halomonas_salifodinae_00792",""
"group_2054","","putative ABC transporter-binding protein","2","2","1","1","4920","22","35","","1271","1271","1271","","","","A2_01182","Halomonas_salifodinae_00791",""
"malL_2","","Oligo-1,6-glucosidase 1","2","2","1","1","4917","22","44","","1640","1640","1640","","","","A2_01185","Halomonas_salifodinae_00788",""
"group_2056","","hypothetical protein","2","2","1","1","1260","635","8","","257","284","270","","","","A2_01199","Halomonas_salifodinae_00776",""
"ybiS","","putative L,D-transpeptidase YbiS","2","2","1","1","1263","635","6","","947","947","947","","","","A2_01201","Halomonas_salifodinae_00774",""
"group_2058","","hypothetical protein","2","2","1","1","1295","634","5","","1046","1046","1046","","","","A2_01219","Halomonas_salifodinae_00757",""
"group_2059","ymdB","O-acetyl-ADP-ribose deacetylase","2","2","1","1","1305","809","2","","521","521","521","","","","A2_01228","Halomonas_salifodinae_00749",""
"group_2060","","Solute-binding protein","2","2","1","1","694","82","10","","1010","1010","1010","","","","A2_01231","Halomonas_salifodinae_00746",""
"group_2061","","hypothetical protein","2","2","1","1","1201","82","11","","1109","1139","1124","","","","A2_01234","Halomonas_salifodinae_00743",""
"group_2062","modA","Molybdate-binding protein ModA","2","2","1","1","1199","643","2","","797","797","797","","","","A2_01236","Halomonas_salifodinae_00741",""
"group_2063","","hypothetical protein","2","2","1","1","1197","643","4","","839","839","839","","","","A2_01238","Halomonas_salifodinae_00739",""
"yobA","","Protein YobA","2","2","1","1","1195","643","6","","338","338","338","","","","A2_01240","Halomonas_salifodinae_00737",""
"group_2065","","hypothetical protein","2","2","1","1","1194","643","7","","839","839","839","","","","A2_01241","Halomonas_salifodinae_00736",""
"group_2066","","hypothetical protein","2","2","1","1","1193","643","1","","302","302","302","","","","A2_01242","Halomonas_salifodinae_00735",""
"group_2067","ligE","Beta-etherase","2","2","1","1","698","59","6","","707","707","707","","","","A2_01245","Halomonas_salifodinae_00732",""
"group_2069","gcvA_4","Glycine cleavage system transcriptional activator","2","2","1","1","1169","59","16","","911","911","911","","","","A2_01250","","9e3420b4b005a41cf6998e0a1df74e45_1282"
"group_2070","hyuA_2","Hydantoin racemase","2","2","1","1","5558","912","1","","671","707","689","","","","A2_01260","Halomonas_salifodinae_00094",""
"group_2073","tsaT_2","Outer membrane transporter protein TsaT","2","2","1","1","5531","702","1","","1049","1061","1055","","","","A2_01273","Halomonas_salifodinae_00081",""
"group_2074","bcr_1","Bicyclomycin resistance protein","2","2","1","1","6054","70","8","","1217","1217","1217","","","","A2_01280","Halomonas_salifodinae_00074",""
"tyrS_1","","Tyrosine--tRNA ligase","2","2","1","1","6064","24","39","","1268","1268","1268","","","","A2_01291","Halomonas_salifodinae_00056",""
"uacT","","Uric acid transporter UacT","2","2","1","1","5370","52","12","","1385","1385","1385","","","","A2_01308","Halomonas_salifodinae_00034",""
"group_2078","ygfA","5-formyltetrahydrofolate cyclo-ligase","2","2","1","1","5366","52","2","","644","644","644","","","","A2_01313","Halomonas_salifodinae_00029",""
"group_2079","waaA","3-deoxy-D-manno-octulosonic acid transferase","2","2","1","1","5360","936","1","","1280","1283","1281","","","","A2_01317","Halomonas_salifodinae_00018",""
"group_2080","kdkA","hypothetical protein","2","2","1","1","6116","711","2","","641","716","678","","","","A2_01320","Halomonas_salifodinae_00015",""
"group_2081","","hypothetical protein","2","2","1","1","6118","711","4","","1142","1151","1146","","","","A2_01321","Halomonas_salifodinae_00013",""
"group_2082","gmhB","D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","2","2","1","1","5353","993","1","","572","572","572","","","","A2_01329","Halomonas_salifodinae_00005",""
"group_2083","thiE","Thiamine-phosphate synthase","2","2","1","1","5347","804","1","","650","650","650","","","","A2_01344","Halomonas_salifodinae_03637",""
"group_2084","","Magnesium transporter MgtE","2","2","1","1","5340","675","5","","1376","1376","1376","","","","A2_01366","Halomonas_salifodinae_03615",""
"group_2085","uppP","Undecaprenyl-diphosphatase","2","2","1","1","5334","675","2","","797","797","797","","","","A2_01368","Halomonas_salifodinae_03613",""
"glmS_1","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","2","2","1","1","5331","102","7","","1829","1829","1829","","","","A2_01372","Halomonas_salifodinae_03609",""
"group_2087","","hypothetical protein","2","2","1","1","5333","102","5","","902","902","902","","","","A2_01374","Halomonas_salifodinae_03607",""
"pstS_1","","Phosphate-binding protein PstS","2","2","1","1","5329","691","3","","944","944","944","","","","A2_01381","Halomonas_salifodinae_03600",""
"group_2090","","hypothetical protein","2","2","1","1","5328","691","4","","1811","1811","1811","","","","A2_01382","Halomonas_salifodinae_03599",""
"group_2092","","hypothetical protein","2","2","1","1","6202","683","2","","542","542","542","","","","A2_01390","Halomonas_salifodinae_03591",""
"group_2093","thpR","RNA 2',3'-cyclic phosphodiesterase","2","2","1","1","5315","195","6","","518","518","518","","","","A2_01398","Halomonas_salifodinae_03583",""
"group_2094","","hypothetical protein","2","2","1","1","6242","169","2","","560","560","560","","","","A2_01412","Halomonas_salifodinae_03569",""
"group_2095","","hypothetical protein","2","2","1","1","6250","671","5","","1154","1157","1155","","","","A2_01418","Halomonas_salifodinae_03563",""
"group_2096","hmp","Flavohemoprotein","2","2","1","1","6248","671","7","","1175","1175","1175","","","","A2_01420","Halomonas_salifodinae_03561",""
"group_2097","","hypothetical protein","2","2","1","1","6275","326","2","","2054","2054","2054","","","","A2_01428","Halomonas_salifodinae_03554",""
"nocT","","Nopaline-binding periplasmic protein","2","2","1","1","5311","998","1","","770","770","770","","","","A2_01432","Halomonas_salifodinae_03550",""
"cyoA","","Cytochrome bo(3) ubiquinol oxidase subunit 2","2","2","1","1","6302","67","12","","869","869","869","","","","A2_01452","Halomonas_salifodinae_03541",""
"ssb","","Single-stranded DNA-binding protein","2","2","1","1","307","2","179","","518","584","551","Bisbaumannia_00297","","","","","9e3420b4b005a41cf6998e0a1df74e45_1527"
"cyoE","","Protoheme IX farnesyltransferase","2","2","1","1","6289","67","23","","920","920","920","","","","A2_01456","Halomonas_salifodinae_03537",""
"dksA_2","","RNA polymerase-binding transcription factor DksA","2","2","1","1","5299","629","10","","428","428","428","","","","A2_01467","Halomonas_salifodinae_03526",""
"group_2103","","hypothetical protein","2","2","1","1","5297","629","12","","1397","1397","1397","","","","A2_01469","Halomonas_salifodinae_03524",""
"pyrC_1","","Dihydroorotase","2","2","1","1","5295","629","1","","1331","1331","1331","","","","A2_01471","Halomonas_salifodinae_03522",""
"group_2105","","hypothetical protein","2","2","1","1","6320","48","9","","650","650","650","","","","A2_01473","Halomonas_salifodinae_03520",""
"group_2107","","hypothetical protein","2","2","1","1","6324","48","16","","1094","1094","1094","","","","A2_01477","Halomonas_salifodinae_03516",""
"group_2108","","hypothetical protein","2","2","1","1","6346","48","11","","449","449","449","","","","A2_01482","Halomonas_salifodinae_03511",""
"group_2109","mntA_2","Manganese-binding lipoprotein MntA","2","2","1","1","6351","1011","1","","1193","1223","1208","","","","A2_01485","Halomonas_salifodinae_03508",""
"group_2110","","hypothetical protein","2","2","1","1","5269","28","2","","149","149","149","","","","A2_01488","Halomonas_salifodinae_03505",""
"group_2111","","hypothetical protein","2","2","1","1","5273","28","5","","1199","1199","1199","","","","A2_01491","Halomonas_salifodinae_03502",""
"group_2112","","hypothetical protein","2","2","1","1","5274","28","13","","686","686","686","","","","A2_01492","Halomonas_salifodinae_03501",""
"group_2113","","hypothetical protein","2","2","1","1","6369","732","1","","1286","1286","1286","","","","A2_01504","Halomonas_salifodinae_03488",""
"group_2115","","hypothetical protein","2","2","1","1","5246","887","1","","320","320","320","","","","A2_01508","Halomonas_salifodinae_03484",""
"group_2116","","hypothetical protein","2","2","1","1","6387","777","2","","377","377","377","","","","A2_01519","Halomonas_salifodinae_03473",""
"mdtJ","","Spermidine export protein MdtJ","2","2","1","1","6417","736","2","","356","356","356","","","","A2_01534","Halomonas_salifodinae_03461",""
"group_2118","","hypothetical protein","2","2","1","1","5229","738","1","","1229","1232","1230","","","","A2_01537","Halomonas_salifodinae_03458",""
"group_2120","","hypothetical protein","2","2","1","1","6450","830","2","","2864","2870","2867","","","","A2_01557","Halomonas_salifodinae_03438",""
"group_2121","","hypothetical protein","2","2","1","1","4447","4","67","","1946","1946","1946","","","","A2_01560","Halomonas_salifodinae_01136",""
"group_2122","","hypothetical protein","2","2","1","1","4450","4","70","","3221","3221","3221","","","","A2_01563","Halomonas_salifodinae_01139",""
"group_2123","fliS","Flagellar secretion chaperone FliS","2","2","1","1","4452","4","72","","431","443","437","","","","A2_01565","Halomonas_salifodinae_01141",""
"group_2124","fliT","hypothetical protein","2","2","1","1","4453","4","73","","395","395","395","","","","A2_01566","Halomonas_salifodinae_01142",""
"group_2125","","hypothetical protein","2","2","1","1","4455","4","76","","281","281","281","","","","A2_01568","Halomonas_salifodinae_01144",""
"group_2126","flhC","Flagellar transcriptional regulator FlhC","2","2","1","1","4458","4","62","","575","575","575","","","","A2_01570","Halomonas_salifodinae_01147",""
"tsr","","Methyl-accepting chemotaxis protein II","2","2","1","1","4433","617","6","","1700","1700","1700","","","","A2_01575","Halomonas_salifodinae_01152",""
"tar","","Methyl-accepting chemotaxis protein II","2","2","1","1","4426","894","1","","1700","1700","1700","","","","A2_01579","Halomonas_salifodinae_01156",""
"group_2131","flhE","Flagellar protein FlhE","2","2","1","1","104","751","3","","389","389","389","","","","A2_01586","Halomonas_salifodinae_01163",""
"group_2132","","hypothetical protein","2","2","1","1","4399","642","6","","1736","1736","1736","","","","A2_01601","Halomonas_salifodinae_01178",""
"group_2133","thiF","Molybdopterin-synthase adenylyltransferase","2","2","1","1","116","814","2","","821","821","821","","","","A2_01606","Halomonas_salifodinae_01183",""
"group_2135","","hypothetical protein","2","2","1","1","4376","112","2","","581","581","581","","","","A2_01615","Halomonas_salifodinae_01192",""
"group_2137","yhdE","dTTP/UTP pyrophosphatase","2","2","1","1","4350","1070","1","","593","593","593","","","","A2_01630","Halomonas_salifodinae_01207",""
"group_2140","","hypothetical protein","2","2","1","1","3106","64","4","","1178","1178","1178","","","","A2_01665","Halomonas_salifodinae_01243",""
"pucK_2","","Uric acid permease PucK","2","2","1","1","3107","15","18","","1355","1355","1355","","","","A2_01667","","9e3420b4b005a41cf6998e0a1df74e45_2784"
"group_2142","","8-oxoguanine deaminase","2","2","1","1","3101","15","26","","1367","1367","1367","","","","A2_01668","","9e3420b4b005a41cf6998e0a1df74e45_2783"
"group_2143","trxC","Thioredoxin 2","2","2","1","1","169","15","23","","437","437","437","","","","A2_01671","Halomonas_salifodinae_01248",""
"group_2144","polB","DNA polymerase II","2","2","1","1","170","15","19","","2387","2387","2387","","","","A2_01672","Halomonas_salifodinae_01249",""
"group_2145","","6-deoxy-6-sulfo-D-gluconate dehydratase","2","2","1","1","3083","15","15","","1730","1730","1730","","","","A2_01676","","9e3420b4b005a41cf6998e0a1df74e45_2767"
"group_2146","","2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase","2","2","1","1","157","15","13","","803","803","803","","","","A2_01677","","9e3420b4b005a41cf6998e0a1df74e45_2766"
"group_2147","gabD_2","Succinate-semialdehyde dehydrogenase [NADP(+)] GabD","2","2","1","1","160","15","8","","1448","1448","1448","","","","A2_01680","","9e3420b4b005a41cf6998e0a1df74e45_2763"
"group_2148","gntR_1","HTH-type transcriptional regulator GntR","2","2","1","1","165","15","3","","1049","1049","1049","","","","A2_01684","","9e3420b4b005a41cf6998e0a1df74e45_2759"
"group_2149","","hypothetical protein","2","2","1","1","149","622","9","","2054","2054","2054","","","","A2_01691","Halomonas_salifodinae_01255",""
"group_2150","gstB_2","Glutathione S-transferase GST-6.0","2","2","1","1","172","25","42","","638","638","638","","","","A2_01700","Halomonas_salifodinae_01265",""
"group_2151","","hypothetical protein","2","2","1","1","3074","25","41","","530","530","530","","","","A2_01702","Halomonas_salifodinae_01266",""
"group_2152","","hypothetical protein","2","2","1","1","3073","25","40","","851","863","857","","","","A2_01703","Halomonas_salifodinae_01267",""
"group_2153","clsA_2","Major cardiolipin synthase ClsA","2","2","1","1","3043","25","15","","1349","1571","1460","","","","A2_01713","Halomonas_salifodinae_01279",""
"ampR_1","","HTH-type transcriptional activator AmpR","2","2","1","1","203","90","4","","887","902","894","","","","A2_01728","Halomonas_salifodinae_01298",""
"group_2155","tupB","Tungstate uptake system permease protein TupB","2","2","1","1","2954","11","62","","704","707","705","","","","A2_01775","Halomonas_salifodinae_02171",""
"group_2156","","hypothetical protein","2","2","1","1","2945","11","46","","1466","1466","1466","","","","A2_01784","Halomonas_salifodinae_02157",""
"group_2157","","hypothetical protein","2","2","1","1","2942","11","43","","587","587","587","","","","A2_01785","Halomonas_salifodinae_02156",""
"group_2158","aceF","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","2","2","1","1","2027","107","5","","740","746","743","","","","A2_01793","Halomonas_salifodinae_02149",""
"group_2159","","hypothetical protein","2","2","1","1","2919","134","6","","557","557","557","","","","A2_01802","Halomonas_salifodinae_02141",""
"group_2161","","hypothetical protein","2","2","1","1","2909","612","14","","608","608","608","","","","A2_01809","Halomonas_salifodinae_02134",""
"group_2162","","hypothetical protein","2","2","1","1","2906","612","4","","1928","1928","1928","","","","A2_01812","Halomonas_salifodinae_02131",""
"group_2163","","hypothetical protein","2","2","1","1","2051","665","2","","731","731","731","","","","A2_01825","Halomonas_salifodinae_02118",""
"group_2164","nadD","putative nicotinate-nucleotide adenylyltransferase","2","2","1","1","2059","603","5","","656","707","681","","","","A2_01838","Halomonas_salifodinae_02105",""
"group_2167","","hypothetical protein","2","2","1","1","2851","603","9","","1022","1022","1022","","","","A2_01843","Halomonas_salifodinae_02100",""
"group_2168","lipB","Octanoyltransferase","2","2","1","1","2062","890","1","","650","650","650","","","","A2_01847","Halomonas_salifodinae_02096",""
"group_2171","","hypothetical protein","2","2","1","1","6001","118","1","","674","674","674","","","","A2_01862","Halomonas_salifodinae_00308",""
"group_2172","","putative protein","2","2","1","1","5999","118","9","","596","596","596","","","","A2_01864","Halomonas_salifodinae_00310",""
"group_2174","ectD","Ectoine dioxygenase","2","2","1","1","5977","803","2","","935","935","935","","","","A2_01877","Halomonas_salifodinae_00323",""
